star1_id,star2_id,star3_id,area,moment,k
68702,71681,71683,2.9847594239939136e-06,9.860338160951165e-10,0
25930,26311,26727,3.805760090036914e-05,3.6210371149821385e-09,0
85927,86670,87073,2.5596476824391474e-05,5.525159577757559e-09,2
71681,71683,74946,6.1317549556298466e-06,8.136962069519129e-09,3
71681,71683,77952,7.25203775140718e-06,1.026340779221907e-08,4
85696,85927,86670,0.00021873195195620674,2.856720277451391e-08,5
85696,86670,87073,0.000142247831851681,3.5204680687659914e-08,6
80112,80763,81266,0.0003278432998743917,7.480066771340797e-08,7
85696,85927,87073,0.00034384419852959803,1.0387866581547981e-07,8
82514,85696,85927,0.00013178836128658112,1.439584601667469e-07,9
78401,80112,80763,0.00021449401095097005,1.700224244633281e-07,10
86228,86670,87073,0.0007486617515112386,1.949711068845439e-07,11
78265,78401,78820,0.0005043891998318683,2.7186205570015854e-07,12
26241,26311,26727,0.000836023660980267,2.9374981412581823e-07,13
85696,85927,86228,0.0005280532734765164,3.110662169333525e-07,14
25930,26241,26311,0.0007814882382822669,3.722730596668834e-07,15
59747,61084,62434,0.0013747621108402073,4.274108045626559e-07,16
78265,80112,80763,0.000831572627860262,5.387730807478545e-07,17
85696,85927,88635,0.00035251682974678347,5.641927454464339e-07,18
82396,85696,85927,0.000466185492843256,6.400544832554485e-07,19
80763,81266,82396,0.0005824008505835697,6.556234416699856e-07,20
85927,86228,86670,0.0013473268572495808,6.687581325982527e-07,21
78401,80112,81266,0.0006166455945270141,7.535969685512593e-07,22
25930,26241,26727,0.0016543067801291305,8.002176047895663e-07,23
25336,25930,26311,0.0008336804777362996,8.012610463005234e-07,24
85696,86228,86670,0.0016564813691590339,8.276840421735414e-07,25
59747,60718,61084,0.0017600289266328747,9.554835811800392e-07,26
746,4427,6686,0.0008660188849912451,1.0595517862139027e-06,27
85927,86228,87073,0.002079627677516695,1.1211774064789183e-06,28
60718,61084,62434,0.0021116508895733083,1.1693543433916454e-06,29
78820,80112,80763,0.001133296632429498,1.196978491447535e-06,30
59747,60718,62434,0.00249670442979196,1.2052207069013204e-06,31
33579,34444,35904,0.0023193942200021595,1.2330654427354418e-06,32
85696,86228,87073,0.0022638183804773813,1.2400872497049675e-06,33
88635,89931,90185,0.0023363783171649875,1.2455517485704848e-06,34
25336,26311,26727,0.0010003198799052755,1.271403841788602e-06,35
26311,26727,27366,0.0011457213055342745,1.39842173855421e-06,36
88635,89931,90496,0.0020367621426662335,1.4101664618994792e-06,37
78401,80763,81266,0.0010654732828882226,1.4313246915839325e-06,38
78265,78401,80112,0.0026544332221720437,1.5554474554998175e-06,39
89931,90185,90496,0.001552485569977679,1.6268261444114376e-06,40
3179,4427,6686,0.0023540594141492153,1.6656145481576958e-06,41
23875,25930,26311,0.0015957267587544414,1.70406692958098e-06,42
23875,26311,26727,0.0014733920343712337,1.7961615383817265e-06,43
78401,78820,80112,0.0025723911971585146,1.9024339587416124e-06,44
78265,80763,81266,0.0018508938227748035,1.946445385527401e-06,45
71352,71860,73273,0.00316168851688187,1.982207259921735e-06,46
25336,25930,26727,0.0017959585099453597,2.1028633844491e-06,47
26241,26727,27366,0.002603900530898646,2.2818022368373738e-06,48
78265,80112,81266,0.0023545933526691975,2.2949289094894055e-06,49
23875,24436,26241,0.003036155642003359,2.370961912648026e-06,50
746,3179,4427,0.0034443256974691404,2.442081124300833e-06,51
26241,26311,27366,0.0023021405038756676,2.442813765206815e-06,52
